Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22733729,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky   Chambers,"Chambers, Becky",,"=""1500453307""","=""9781500453305""",0,4.19,CreateSpace Independent Publishing Platform ,Paperback,518,2014,2014,,2016/08/20,to-read,to-read (#45),to-read,,,,,,,0,,,,,
1128434,"The Last Wish (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""0575077832""","=""9780575077836""",5,4.20,Gollancz,Hardcover,384,2007,1993,2016/06/30,2016/07/09,,,read,,,,,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",5,3.84,Pocket Books,Mass Market Paperback,713,2006,2000,2016/07/06,2016/07/09,,,read,,,,,,,0,,,,,
13138635,"These Broken Stars (Starbound, #1)",Amie Kaufman,"Kaufman, Amie",Meagan Spooner,"=""1423171020""","=""9781423171027""",0,3.94,Disney Hyperion,Hardcover,374,2013,2013,,2016/06/14,to-read,to-read (#44),to-read,,,,,,,0,,,,,
11594257,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,"Rossi, Veronica",,"=""1907411054""","=""9781907411052""",0,4.01,Atom,Paperback,374,2012,2011,,2016/06/14,to-read,to-read (#43),to-read,,,,,,,0,,,,,
13514612,All Our Yesterdays,Cristin Terrill,"Terrill, Cristin",,"=""1423176375""","=""9781423176374""",0,4.06,Disney Hyperion,Hardcover,360,2013,2013,,2016/03/26,to-read,to-read (#42),to-read,,,,,,,0,,,,,
18140047,Love Letters to the Dead,Ava Dellaira,"Dellaira, Ava",,"=""0374346674""","=""9780374346676""",3,3.83,"Farrar, Straus and Giroux",Hardcover,336,2014,2014,2016/03/30,2016/03/26,,,read,,,,,,,0,,,,,
18213783,Little Beach Street Bakery,Jenny Colgan,"Colgan, Jenny",,"=""0751549215""","=""9780751549218""",0,3.91,Sphere,Paperback,416,2014,2014,,2016/03/26,to-read,to-read (#41),to-read,,,,,,,0,,,,,
24539919,Ne plus vivre avec lui,Eva Kavian,"Kavian, Eva",,"=""""","=""9782874230455""",3,3.29,Ricochet,Paperback,,2009,2009,2016/01/11,2016/03/26,,,read,,,,,,,0,,,,,
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",4,3.87,Riverhead Books,Hardcover,336,2015,2015,2016/03/26,2016/03/26,,,read,,,,,,,0,,,,,
16131484,"The Infinite Sea (The 5th Wave, #2)",Rick Yancey,"Yancey, Rick",,"=""""","=""""",4,3.98,Putnam Juvenile,Kindle Edition,320,2014,2014,2016/03/23,2016/03/10,,,read,,,,,,,0,,,,,
11561469,"Reason to Breathe (Breathing, #1)",Rebecca Donovan,"Donovan, Rebecca",,"=""""","=""""",5,4.24,,Kindle Edition,377,2011,2011,2016/03/15,2016/03/10,,,read,,,,,,,0,,,,,
